,Date,Close,Gross_Profit,ROE
1562,2017-02-10,33.029999,30176,0.35
1563,2017-02-13,33.322498,30176,0.35
1564,2017-02-14,33.755001,30176,0.35
1565,2017-02-15,33.877499,30176,0.35
1566,2017-02-16,33.837502,30176,0.35
1567,2017-02-17,33.93,30176,0.35
1568,2017-02-21,34.174999,30176,0.35
1569,2017-02-22,34.2775,30176,0.35
1570,2017-02-23,34.1325,30176,0.35
1571,2017-02-24,34.165001,30176,0.35
1572,2017-02-27,34.232498,30176,0.35
1573,2017-02-28,34.247501,30176,0.35
1574,2017-03-01,34.947498,30176,0.35
1575,2017-03-02,34.740002,30176,0.35
1576,2017-03-03,34.945,30176,0.35
1577,2017-03-06,34.834999,30176,0.35
1578,2017-03-07,34.880001,30176,0.35
1579,2017-03-08,34.75,30176,0.35
1580,2017-03-09,34.669998,30176,0.35
1581,2017-03-10,34.785,30176,0.35
1582,2017-03-13,34.799999,30176,0.35
1583,2017-03-14,34.747501,30176,0.35
1584,2017-03-15,35.115002,30176,0.35
1585,2017-03-16,35.172501,30176,0.35
1586,2017-03-17,34.997501,30176,0.35
1587,2017-03-20,35.365002,30176,0.35
1588,2017-03-21,34.959999,30176,0.35
1589,2017-03-22,35.355,30176,0.35
1590,2017-03-23,35.23,30176,0.35
1591,2017-03-24,35.16,30176,0.35
1592,2017-03-27,35.220001,30176,0.35
1593,2017-03-28,35.950001,30176,0.35
1594,2017-03-29,36.029999,30176,0.35
1595,2017-03-30,35.982498,30176,0.35
1596,2017-03-31,35.915001,20591,0.35
1597,2017-04-03,35.924999,20591,0.35
1598,2017-04-04,36.192501,20591,0.35
1599,2017-04-05,36.005001,20591,0.35
1600,2017-04-06,35.915001,20591,0.35
1601,2017-04-07,35.834999,20591,0.35
1602,2017-04-10,35.7925,20591,0.35
1603,2017-04-11,35.407501,20591,0.35
1604,2017-04-12,35.450001,20591,0.35
1605,2017-04-13,35.262501,20591,0.35
1606,2017-04-17,35.4575,20591,0.35
1607,2017-04-18,35.299999,20591,0.35
1608,2017-04-19,35.169998,20591,0.35
1609,2017-04-20,35.610001,20591,0.35
1610,2017-04-21,35.567501,20591,0.35
1611,2017-04-24,35.91,20591,0.35
1612,2017-04-25,36.1325,20591,0.35
1613,2017-04-26,35.919998,20591,0.35
1614,2017-04-27,35.947498,20591,0.35
1615,2017-04-28,35.912498,20591,0.35
1616,2017-05-01,36.645,20591,0.35
1617,2017-05-02,36.877499,20591,0.35
1618,2017-05-03,36.764999,20591,0.35
1619,2017-05-04,36.6325,20591,0.35
1620,2017-05-05,37.240002,20591,0.35
1621,2017-05-08,38.252499,20591,0.35
1622,2017-05-09,38.497501,20591,0.35
1623,2017-05-10,38.314999,20591,0.35
1624,2017-05-11,38.487499,20591,0.35
1625,2017-05-12,39.025002,20591,0.35
1626,2017-05-15,38.924999,20591,0.35
1627,2017-05-16,38.8675,20591,0.35
1628,2017-05-17,37.5625,20591,0.35
1629,2017-05-18,38.134998,20591,0.35
1630,2017-05-19,38.264999,20591,0.35
1631,2017-05-22,38.497501,20591,0.35
1632,2017-05-23,38.450001,20591,0.35
1633,2017-05-24,38.334999,20591,0.35
1634,2017-05-25,38.467499,20591,0.35
1635,2017-05-26,38.4025,20591,0.35
1636,2017-05-30,38.4175,20591,0.35
1637,2017-05-31,38.189999,20591,0.35
1638,2017-06-01,38.294998,20591,0.35
1639,2017-06-02,38.862499,20591,0.35
1640,2017-06-05,38.482498,20591,0.35
1641,2017-06-06,38.612499,20591,0.35
1642,2017-06-07,38.842499,20591,0.35
1643,2017-06-08,38.747501,20591,0.35
1644,2017-06-09,37.244999,20591,0.35
1645,2017-06-12,36.355,20591,0.35
1646,2017-06-13,36.647499,20591,0.35
1647,2017-06-14,36.290001,20591,0.35
1648,2017-06-15,36.072498,20591,0.35
1649,2017-06-16,35.567501,20591,0.35
1650,2017-06-19,36.584999,20591,0.35
1651,2017-06-20,36.252499,20591,0.35
1652,2017-06-21,36.467499,20591,0.35
1653,2017-06-22,36.407501,20591,0.35
1654,2017-06-23,36.57,20591,0.35
1655,2017-06-26,36.455002,20591,0.35
1656,2017-06-27,35.932499,20591,0.35
1657,2017-06-28,36.4575,20591,0.35
1658,2017-06-29,35.919998,20591,0.35
1659,2017-06-30,36.005001,17488,0.35
1660,2017-07-03,35.875,17488,0.35
1661,2017-07-05,36.022499,17488,0.35
1662,2017-07-06,35.682499,17488,0.35
1663,2017-07-07,36.044998,17488,0.35
1664,2017-07-10,36.264999,17488,0.35
1665,2017-07-11,36.3825,17488,0.35
1666,2017-07-12,36.435001,17488,0.35
1667,2017-07-13,36.942501,17488,0.35
1668,2017-07-14,37.259998,17488,0.35
1669,2017-07-17,37.389999,17488,0.35
1670,2017-07-18,37.52,17488,0.35
1671,2017-07-19,37.755001,17488,0.35
1672,2017-07-20,37.584999,17488,0.35
1673,2017-07-21,37.567501,17488,0.35
1674,2017-07-24,38.022499,17488,0.35
1675,2017-07-25,38.185001,17488,0.35
1676,2017-07-26,38.365002,17488,0.35
1677,2017-07-27,37.639999,17488,0.35
1678,2017-07-28,37.375,17488,0.35
1679,2017-07-31,37.182499,17488,0.35
1680,2017-08-01,37.512501,17488,0.35
1681,2017-08-02,39.285,17488,0.35
1682,2017-08-03,38.892502,17488,0.35
1683,2017-08-04,39.0975,17488,0.35
1684,2017-08-07,39.702499,17488,0.35
1685,2017-08-08,40.02,17488,0.35
1686,2017-08-09,40.264999,17488,0.35
1687,2017-08-10,38.830002,17488,0.35
1688,2017-08-11,39.369999,17488,0.35
1689,2017-08-14,39.962502,17488,0.35
1690,2017-08-15,40.400002,17488,0.35
1691,2017-08-16,40.237499,17488,0.35
1692,2017-08-17,39.465,17488,0.35
1693,2017-08-18,39.375,17488,0.35
1694,2017-08-21,39.302502,17488,0.35
1695,2017-08-22,39.945,17488,0.35
1696,2017-08-23,39.994999,17488,0.35
1697,2017-08-24,39.817501,17488,0.35
1698,2017-08-25,39.965,17488,0.35
1699,2017-08-28,40.3675,17488,0.35
1700,2017-08-29,40.727501,17488,0.35
1701,2017-08-30,40.837502,17488,0.35
1702,2017-08-31,41.0,17488,0.35
1703,2017-09-01,41.012501,17488,0.35
1704,2017-09-05,40.52,17488,0.35
1705,2017-09-06,40.477501,17488,0.35
1706,2017-09-07,40.314999,17488,0.35
1707,2017-09-08,39.657501,17488,0.35
1708,2017-09-11,40.375,17488,0.35
1709,2017-09-12,40.215,17488,0.35
1710,2017-09-13,39.912498,17488,0.35
1711,2017-09-14,39.57,17488,0.35
1712,2017-09-15,39.970001,17488,0.35
1713,2017-09-18,39.6675,17488,0.35
1714,2017-09-19,39.682499,17488,0.35
1715,2017-09-20,39.017502,17488,0.35
1716,2017-09-21,38.3475,17488,0.35
1717,2017-09-22,37.9725,17488,0.35
1718,2017-09-25,37.637501,17488,0.35
1719,2017-09-26,38.285,17488,0.35
1720,2017-09-27,38.557499,17488,0.35
1721,2017-09-28,38.32,17488,0.35
1722,2017-09-29,38.529999,17488,0.35
1723,2017-10-02,38.452499,19931,0.36
1724,2017-10-03,38.619999,19931,0.36
1725,2017-10-04,38.369999,19931,0.36
1726,2017-10-05,38.8475,19931,0.36
1727,2017-10-06,38.825001,19931,0.36
1728,2017-10-09,38.959999,19931,0.36
1729,2017-10-10,38.974998,19931,0.36
1730,2017-10-11,39.137501,19931,0.36
1731,2017-10-12,39.0,19931,0.36
1732,2017-10-13,39.247501,19931,0.36
1733,2017-10-16,39.970001,19931,0.36
1734,2017-10-17,40.1175,19931,0.36
1735,2017-10-18,39.939999,19931,0.36
1736,2017-10-19,38.994999,19931,0.36
1737,2017-10-20,39.0625,19931,0.36
1738,2017-10-23,39.0425,19931,0.36
1739,2017-10-24,39.275002,19931,0.36
1740,2017-10-25,39.102501,19931,0.36
1741,2017-10-26,39.352501,19931,0.36
1742,2017-10-27,40.762501,19931,0.36
1743,2017-10-30,41.68,19931,0.36
1744,2017-10-31,42.259998,19931,0.36
1745,2017-11-01,41.7225,19931,0.36
1746,2017-11-02,42.0275,19931,0.36
1747,2017-11-03,43.125,19931,0.36
1748,2017-11-06,43.5625,19931,0.36
1749,2017-11-07,43.702499,19931,0.36
1750,2017-11-08,44.060001,19931,0.36
1751,2017-11-09,43.970001,19931,0.36
1752,2017-11-10,43.6675,19931,0.36
1753,2017-11-13,43.4925,19931,0.36
1754,2017-11-14,42.834999,19931,0.36
1755,2017-11-15,42.27,19931,0.36
1756,2017-11-16,42.775002,19931,0.36
1757,2017-11-17,42.537498,19931,0.36
1758,2017-11-20,42.494999,19931,0.36
1759,2017-11-21,43.285,19931,0.36
1760,2017-11-22,43.740002,19931,0.36
1761,2017-11-24,43.7425,19931,0.36
1762,2017-11-27,43.522499,19931,0.36
1763,2017-11-28,43.267502,19931,0.36
1764,2017-11-29,42.369999,19931,0.36
1765,2017-11-30,42.962502,19931,0.36
1766,2017-12-01,42.762501,19931,0.36
1767,2017-12-04,42.450001,19931,0.36
1768,2017-12-05,42.41,19931,0.36
1769,2017-12-06,42.252499,19931,0.36
1770,2017-12-07,42.330002,19931,0.36
1771,2017-12-08,42.342499,19931,0.36
1772,2017-12-11,43.1675,19931,0.36
1773,2017-12-12,42.924999,19931,0.36
1774,2017-12-13,43.067501,19931,0.36
1775,2017-12-14,43.055,19931,0.36
1776,2017-12-15,43.4925,19931,0.36
1777,2017-12-18,44.105,19931,0.36
1778,2017-12-19,43.634998,19931,0.36
1779,2017-12-20,43.587502,19931,0.36
1780,2017-12-21,43.752499,19931,0.36
1781,2017-12-22,43.752499,19931,0.36
1782,2017-12-26,42.642502,19931,0.36
1783,2017-12-27,42.650002,19931,0.36
1784,2017-12-28,42.77,19931,0.36
1785,2017-12-29,42.307499,19931,0.36
1786,2018-01-02,43.064999,33912,0.37
1787,2018-01-03,43.057499,33912,0.37
1788,2018-01-04,43.2575,33912,0.37
1789,2018-01-05,43.75,33912,0.37
1790,2018-01-08,43.587502,33912,0.37
