Date,Close,Gross_Profit,ROE,ROI,PE_ratio,PS_ratio
11/18/15,29.3225,20548,0.43,,10.89,2.5
11/19/15,29.695,20548,0.43,,10.89,2.5
11/20/15,29.825001,20548,0.43,,10.89,2.5
11/23/15,29.4375,20548,0.43,,10.89,2.5
11/24/15,29.719999,20548,0.43,,10.89,2.5
11/25/15,29.5075,20548,0.43,,10.89,2.5
11/27/15,29.452499,20548,0.43,,10.89,2.5
11/30/15,29.575001,20548,0.43,,10.89,2.5
12/1/15,29.334999,20548,0.43,,10.89,2.5
12/2/15,29.07,20548,0.43,,10.89,2.5
12/3/15,28.799999,20548,0.43,,10.89,2.5
12/4/15,29.7575,20548,0.43,,10.89,2.5
12/7/15,29.57,20548,0.43,,10.89,2.5
12/8/15,29.557501,20548,0.43,,10.89,2.5
12/9/15,28.905001,20548,0.43,,10.89,2.5
12/10/15,29.0425,20548,0.43,,10.89,2.5
12/11/15,28.295,20548,0.43,,10.89,2.5
12/14/15,28.120001,20548,0.43,,10.89,2.5
12/15/15,27.622499,20548,0.43,,10.89,2.5
12/16/15,27.834999,20548,0.43,,10.89,2.5
12/17/15,27.245001,20548,0.43,,10.89,2.5
12/18/15,26.5075,20548,0.43,,10.89,2.5
12/21/15,26.8325,20548,0.43,,10.89,2.5
12/22/15,26.807501,20548,0.43,,10.89,2.5
12/23/15,27.1525,20548,0.43,,10.89,2.5
12/24/15,27.0075,20548,0.43,,10.89,2.5
12/28/15,26.705,20548,0.43,,10.89,2.5
12/29/15,27.184999,20548,0.43,,10.89,2.5
12/30/15,26.83,20548,0.43,,10.89,2.5
12/31/15,26.315001,30423,0.43,,10.23,2.35
1/4/16,26.3375,30423,0.43,,10.23,2.35
1/5/16,25.6775,30423,0.43,,10.23,2.35
1/6/16,25.174999,30423,0.43,,10.23,2.35
1/7/16,24.112499,30423,0.43,,10.23,2.35
1/8/16,24.24,30423,0.43,,10.23,2.35
1/11/16,24.6325,30423,0.43,,10.23,2.35
1/12/16,24.99,30423,0.43,,10.23,2.35
1/13/16,24.3475,30423,0.43,,10.23,2.35
1/14/16,24.879999,30423,0.43,,10.23,2.35
1/15/16,24.282499,30423,0.43,,10.23,2.35
1/19/16,24.165001,30423,0.43,,10.23,2.35
1/20/16,24.1975,30423,0.43,,10.23,2.35
1/21/16,24.075001,30423,0.43,,10.23,2.35
1/22/16,25.355,30423,0.43,,10.23,2.35
1/25/16,24.860001,30423,0.43,,10.23,2.35
1/26/16,24.997499,30423,0.43,,10.23,2.35
1/27/16,23.355,30423,0.43,,10.23,2.35
1/28/16,23.522499,30423,0.43,,10.23,2.35
1/29/16,24.334999,30423,0.43,,10.23,2.35
2/1/16,24.1075,30423,0.43,,10.23,2.35
2/2/16,23.620001,30423,0.43,,10.23,2.35
2/3/16,24.0875,30423,0.43,,10.23,2.35
2/4/16,24.15,30423,0.43,,10.23,2.35
2/5/16,23.504999,30423,0.43,,10.23,2.35
